Date,zone,centre,Price
24-02-93,1,SRINAGAR,NA
24-02-93,1,JAMMU,NA
24-02-93,1,AMRITSAR,313
24-02-93,1,LUDHIANA,307
24-02-93,1,LUCKNOW,NA
24-02-93,1,KANPUR,NA
24-02-93,1,CHANDIGARH,NA
24-02-93,1,DELHI,350
24-02-93,2,AHMEDABAD,500
24-02-93,2,RAJKOT,350
24-02-93,2,PANAJI,580
24-02-93,2,BHOPAL,NA
24-02-93,2,INDORE,NA
24-02-93,2,MUMBAI,500
24-02-93,2,NAGPUR,398
24-02-93,2,JAIPUR,NA
24-02-93,2,JODHPUR,NA
24-02-93,3,GUWAHATI,NA
24-02-93,3,PATNA,NA
24-02-93,3,SHILLONG,NA
24-02-93,3,AIZAWL,NA
24-02-93,3,BHUBANESHWAR,NA
24-02-93,3,CUTTACK,NA
24-02-93,3,KOLKATA,NA
24-02-93,3,AGARTALA,NA
24-02-93,4,HYDERABAD,555
24-02-93,4,VIJAYAWADA,650
24-02-93,4,BANGALORE,620
24-02-93,4,THIRUVANANTHAPURAM,NA
24-02-93,4,ERNAKULAM,NA
24-02-93,4,CHENNAI,581
24-02-93,4,MADURAI,550
24-02-93,4,PONDICHERRY,NA
03-03-93,1,HISAR,335
03-03-93,1,KARNAL,320
03-03-93,1,SHIMLA,NA
03-03-93,1,MANDI,336
03-03-93,1,SRINAGAR,NA
03-03-93,1,JAMMU,NA
03-03-93,1,AMRITSAR,314
03-03-93,1,LUDHIANA,304
03-03-93,1,LUCKNOW,NA
03-03-93,1,KANPUR,NA
03-03-93,1,CHANDIGARH,320
03-03-93,1,DELHI,350
03-03-93,2,AHMEDABAD,410
03-03-93,2,RAJKOT,345
03-03-93,2,PANAJI,550
03-03-93,2,BHOPAL,NA
03-03-93,2,INDORE,NA
03-03-93,2,MUMBAI,500
03-03-93,2,NAGPUR,433
03-03-93,2,JAIPUR,325
03-03-93,2,JODHPUR,330
03-03-93,3,GUWAHATI,400
03-03-93,3,PATNA,NA
03-03-93,3,SHILLONG,NA
03-03-93,3,AIZAWL,NA
03-03-93,3,BHUBANESHWAR,NA
03-03-93,3,CUTTACK,NA
03-03-93,3,KOLKATA,NA
03-03-93,3,AGARTALA,NA
03-03-93,4,HYDERABAD,555
03-03-93,4,VIJAYAWADA,NA
03-03-93,4,BANGALORE,610
03-03-93,4,THIRUVANANTHAPURAM,NA
03-03-93,4,ERNAKULAM,NA
03-03-93,4,CHENNAI,561
03-03-93,4,MADURAI,550
03-03-93,4,PONDICHERRY,650
10-03-93,1,HISAR,325
10-03-93,1,KARNAL,320
10-03-93,1,SHIMLA,NA
10-03-93,1,MANDI,336
10-03-93,1,SRINAGAR,NA
10-03-93,1,JAMMU,NA
10-03-93,1,AMRITSAR,NA
10-03-93,1,LUDHIANA,NA
10-03-93,1,LUCKNOW,310
10-03-93,1,KANPUR,340
10-03-93,1,CHANDIGARH,NA
10-03-93,1,DELHI,355
10-03-93,2,AHMEDABAD,400
10-03-93,2,RAJKOT,335
10-03-93,2,PANAJI,580
10-03-93,2,BHOPAL,400
10-03-93,2,INDORE,350
10-03-93,2,MUMBAI,NA
10-03-93,2,NAGPUR,533
10-03-93,2,JAIPUR,330
10-03-93,2,JODHPUR,335
10-03-93,3,GUWAHATI,400
10-03-93,3,PATNA,NA
10-03-93,3,SHILLONG,470
10-03-93,3,AIZAWL,NA
10-03-93,3,BHUBANESHWAR,NA
10-03-93,3,CUTTACK,NA
10-03-93,3,KOLKATA,NA
10-03-93,3,AGARTALA,NA
10-03-93,4,HYDERABAD,555
10-03-93,4,VIJAYAWADA,500
10-03-93,4,BANGALORE,NA
10-03-93,4,THIRUVANANTHAPURAM,NA
10-03-93,4,ERNAKULAM,NA
10-03-93,4,CHENNAI,551
10-03-93,4,MADURAI,550
10-03-93,4,PONDICHERRY,323
17-03-93,1,HISAR,NA
17-03-93,1,KARNAL,NA
17-03-93,1,SHIMLA,NA
17-03-93,1,MANDI,336
17-03-93,1,SRINAGAR,NA
17-03-93,1,JAMMU,NA
17-03-93,1,AMRITSAR,NA
17-03-93,1,LUDHIANA,NA
17-03-93,1,LUCKNOW,315
17-03-93,1,KANPUR,340
17-03-93,1,CHANDIGARH,323
17-03-93,1,DELHI,355
17-03-93,2,AHMEDABAD,425
17-03-93,2,RAJKOT,330
17-03-93,2,PANAJI,550
17-03-93,2,BHOPAL,400
17-03-93,2,INDORE,350
17-03-93,2,MUMBAI,500
17-03-93,2,NAGPUR,428
17-03-93,2,JAIPUR,340
17-03-93,2,JODHPUR,345
17-03-93,3,GUWAHATI,395
17-03-93,3,PATNA,NA
17-03-93,3,SHILLONG,NA
17-03-93,3,AIZAWL,NA
17-03-93,3,BHUBANESHWAR,NA
17-03-93,3,CUTTACK,NA
17-03-93,3,KOLKATA,NA
17-03-93,3,AGARTALA,NA
17-03-93,4,HYDERABAD,555
17-03-93,4,VIJAYAWADA,500
17-03-93,4,BANGALORE,550
17-03-93,4,THIRUVANANTHAPURAM,NA
17-03-93,4,ERNAKULAM,NA
17-03-93,4,CHENNAI,551
17-03-93,4,MADURAI,550
17-03-93,4,PONDICHERRY,NA
24-03-93,1,HISAR,320
24-03-93,1,KARNAL,320
24-03-93,1,SHIMLA,NA
24-03-93,1,MANDI,336
24-03-93,1,SRINAGAR,NA
24-03-93,1,JAMMU,NA
24-03-93,1,AMRITSAR,NA
24-03-93,1,LUDHIANA,NA
24-03-93,1,LUCKNOW,320
24-03-93,1,KANPUR,335
24-03-93,1,CHANDIGARH,326
24-03-93,1,DELHI,355
24-03-93,2,AHMEDABAD,NA
24-03-93,2,RAJKOT,NA
24-03-93,2,PANAJI,NA
24-03-93,2,BHOPAL,400
24-03-93,2,INDORE,350
24-03-93,2,MUMBAI,500
24-03-93,2,NAGPUR,420
24-03-93,2,JAIPUR,315
24-03-93,2,JODHPUR,330
24-03-93,3,GUWAHATI,395
24-03-93,3,PATNA,NA
24-03-93,3,SHILLONG,NA
24-03-93,3,AIZAWL,NA
24-03-93,3,BHUBANESHWAR,NA
24-03-93,3,CUTTACK,NA
24-03-93,3,KOLKATA,NA
24-03-93,3,AGARTALA,NA
24-03-93,4,HYDERABAD,550
24-03-93,4,VIJAYAWADA,500
24-03-93,4,BANGALORE,510
24-03-93,4,THIRUVANANTHAPURAM,NA
24-03-93,4,ERNAKULAM,NA
24-03-93,4,CHENNAI,551
24-03-93,4,MADURAI,550
24-03-93,4,PONDICHERRY,578
31-03-93,1,HISAR,321
31-03-93,1,KARNAL,320
31-03-93,1,SHIMLA,NA
31-03-93,1,MANDI,336
31-03-93,1,SRINAGAR,NA
31-03-93,1,JAMMU,NA
31-03-93,1,AMRITSAR,NA
31-03-93,1,LUDHIANA,NA
31-03-93,1,LUCKNOW,315
31-03-93,1,KANPUR,334
31-03-93,1,CHANDIGARH,328
31-03-93,1,DELHI,350
31-03-93,2,AHMEDABAD,450
31-03-93,2,RAJKOT,340
31-03-93,2,PANAJI,520
31-03-93,2,BHOPAL,400
31-03-93,2,INDORE,340
31-03-93,2,MUMBAI,500
31-03-93,2,NAGPUR,413
31-03-93,2,JAIPUR,310
31-03-93,2,JODHPUR,320
31-03-93,3,GUWAHATI,380
31-03-93,3,PATNA,NA
31-03-93,3,SHILLONG,460
31-03-93,3,AIZAWL,NA
31-03-93,3,BHUBANESHWAR,NA
31-03-93,3,CUTTACK,NA
31-03-93,3,KOLKATA,NA
31-03-93,3,AGARTALA,NA
31-03-93,4,HYDERABAD,550
31-03-93,4,VIJAYAWADA,500
31-03-93,4,BANGALORE,580
31-03-93,4,THIRUVANANTHAPURAM,NA
31-03-93,4,ERNAKULAM,NA
31-03-93,4,CHENNAI,551
31-03-93,4,MADURAI,550
31-03-93,4,PONDICHERRY,NA
07-04-93,1,HISAR,316
07-04-93,1,KARNAL,320
07-04-93,1,SHIMLA,NA
07-04-93,1,MANDI,336
07-04-93,1,SRINAGAR,NA
07-04-93,1,JAMMU,NA
07-04-93,1,AMRITSAR,NA
07-04-93,1,LUDHIANA,NA
07-04-93,1,LUCKNOW,320
07-04-93,1,KANPUR,340
07-04-93,1,CHANDIGARH,328
07-04-93,1,DELHI,350
07-04-93,2,AHMEDABAD,450
07-04-93,2,RAJKOT,340
07-04-93,2,PANAJI,520
07-04-93,2,BHOPAL,375
07-04-93,2,INDORE,340
07-04-93,2,MUMBAI,500
07-04-93,2,NAGPUR,368
07-04-93,2,JAIPUR,330
07-04-93,2,JODHPUR,340
07-04-93,3,GUWAHATI,NA
07-04-93,3,PATNA,NA
07-04-93,3,SHILLONG,NA
07-04-93,3,AIZAWL,NA
07-04-93,3,BHUBANESHWAR,NA
07-04-93,3,CUTTACK,NA
07-04-93,3,KOLKATA,NA
07-04-93,3,AGARTALA,NA
07-04-93,4,HYDERABAD,550
07-04-93,4,VIJAYAWADA,NA
07-04-93,4,BANGALORE,520
07-04-93,4,THIRUVANANTHAPURAM,NA
07-04-93,4,ERNAKULAM,NA
07-04-93,4,CHENNAI,551
07-04-93,4,MADURAI,550
07-04-93,4,PONDICHERRY,NA
14-04-93,1,HISAR,320
14-04-93,1,KARNAL,320
14-04-93,1,SHIMLA,NA
14-04-93,1,MANDI,336
14-04-93,1,SRINAGAR,NA
14-04-93,1,JAMMU,NA
14-04-93,1,AMRITSAR,NA
14-04-93,1,LUDHIANA,NA
14-04-93,1,LUCKNOW,320
14-04-93,1,KANPUR,340
14-04-93,1,CHANDIGARH,325
14-04-93,1,DELHI,350
14-04-93,2,AHMEDABAD,450
14-04-93,2,RAJKOT,340
14-04-93,2,PANAJI,NA
14-04-93,2,BHOPAL,375
14-04-93,2,INDORE,356
14-04-93,2,MUMBAI,500
14-04-93,2,NAGPUR,413
14-04-93,2,JAIPUR,310
14-04-93,2,JODHPUR,320
14-04-93,3,GUWAHATI,NA
14-04-93,3,PATNA,NA
14-04-93,3,SHILLONG,470
14-04-93,3,AIZAWL,NA
14-04-93,3,BHUBANESHWAR,NA
14-04-93,3,CUTTACK,NA
14-04-93,3,KOLKATA,NA
14-04-93,3,AGARTALA,NA
14-04-93,4,HYDERABAD,570
14-04-93,4,VIJAYAWADA,500
